,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-01 00:00:00,5,1,0,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-02 00:00:00,5,2,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-03 00:00:00,5,3,0,0,0,0,0,0
2015-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-04 00:00:00,5,4,0,0,0,0,0,0
2015-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-05 00:00:00,5,5,0,0,0,0,0,0
2015-05-06,Available,100%,Contract CHV,49476,49476,3377 ALBUQUERQUE NM TRM VECENERGY,0,49476,0,0,06/01 00:00:00 PDT,49476,GASOLINE,Monthly,1,2015-05-06 00:40:00,1391081,2015-05-06 00:00:00,5,6,49476,8246,49476,8246,0,0
2015-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-07 00:00:00,5,7,49476,7068,49476,7068,0,0
2015-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-08 00:00:00,5,8,49476,6184,49476,6184,0,0
2015-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-09 00:00:00,5,9,49476,5497,49476,5497,0,0
2015-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-10 00:00:00,5,10,49476,4947,49476,4947,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-11 00:00:00,5,11,49476,4497,49476,4497,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-12 00:00:00,5,12,49476,4123,49476,4123,0,0
2015-05-13,Available,100%,Contract CHV,49476,49476,3377 ALBUQUERQUE NM TRM VECENERGY,0,49476,0,0,06/01 00:00:00 PDT,49476,GASOLINE,Monthly,2,2015-05-13 04:35:00,1679002,2015-05-13 00:00:00,5,13,98952,7611,98952,7611,0,0
